size,index,value,update_ns
1000,744,1000,428
1000,40,9772,371
1000,855,4258,310
1000,184,1000,295
1000,984,3030,369
1000,367,7704,343
1000,93,6064,550
1000,37,9920,465
1000,807,2592,579
1000,256,1920,477
1000,350,8674,381
1000,490,3450,327
1000,73,4932,331
1000,71,3618,272
1000,681,2864,537
1000,358,7144,380
1000,989,951,251
1000,515,7653,346
1000,22,3188,367
1000,635,1662,389
1000,735,2029,410
1000,865,2653,380
1000,853,1901,344
1000,173,3332,393
1000,959,373,312
1000,611,7246,308
1000,103,6410,300
1000,858,9335,287
1000,204,4262,333
1000,557,6973,439
1000,744,1000,349
1000,40,9772,330
1000,855,4258,313
1000,184,1000,304
1000,984,3030,278
1000,367,7704,291
1000,93,6064,551
1000,37,9920,423
1000,807,2592,470
1000,256,1920,408
1000,350,8674,361
1000,490,3450,376
1000,73,4932,367
1000,71,3618,261
1000,681,2864,474
1000,358,7144,356
1000,989,951,321
1000,515,7653,352
1000,22,3188,390
1000,635,1662,437
1000,735,2029,382
1000,865,2653,387
1000,853,1901,339
1000,173,3332,347
1000,959,373,292
1000,611,7246,303
1000,103,6410,300
1000,858,9335,240
1000,204,4262,395
1000,557,6973,419
1000,744,1000,377
1000,40,9772,340
1000,855,4258,305
1000,184,1000,307
1000,984,3030,277
1000,367,7704,295
1000,93,6064,620
1000,37,9920,507
1000,807,2592,451
1000,256,1920,445
1000,350,8674,404
1000,490,3450,386
1000,73,4932,386
1000,71,3618,293
1000,681,2864,508
1000,358,7144,413
1000,989,951,310
1000,515,7653,391
1000,22,3188,388
1000,635,1662,473
1000,735,2029,382
1000,865,2653,341
1000,853,1901,327
1000,173,3332,353
1000,959,373,279
1000,611,7246,330
1000,103,6410,288
1000,858,9335,289
1000,204,4262,368
1000,557,6973,400
1000,744,1000,374
1000,40,9772,337
1000,855,4258,290
1000,184,1000,301
1000,984,3030,334
1000,367,7704,316
1000,93,6064,761
1000,37,9920,574
1000,807,2592,571
1000,256,1920,515
1000,350,8674,568
1000,490,3450,415
1000,73,4932,380
