size,index,value,update_ns
2000,1552,9832,405712
2000,113,588,399399
2000,1855,3376,420241
2000,1175,1485,400069
2000,681,1075,397666
2000,478,335,403283
2000,489,4703,446887
2000,1345,3,402291
2000,786,6286,396178
2000,1517,2981,400867
2000,1931,4961,396359
2000,1779,7548,399447
2000,1983,6083,395539
2000,1493,5472,396141
2000,855,7900,407476
2000,127,2683,448330
2000,1312,2086,402272
2000,1845,9807,395289
2000,1167,4169,402052
2000,1244,9607,396023
2000,619,8304,395316
2000,1845,8680,444765
2000,593,8772,402663
2000,1731,6366,395605
2000,1389,8486,396152
2000,1582,6685,402958
2000,156,6985,419142
2000,1028,550,405522
2000,1010,4292,409363
2000,1034,6262,402186
2000,1552,9832,406548
2000,113,588,400004
2000,1855,3376,400796
2000,1175,1485,404652
2000,681,1075,398972
2000,478,335,402765
2000,489,4703,397302
2000,1345,3,402378
2000,786,6286,397421
2000,1517,2981,402751
2000,1931,4961,397694
2000,1779,7548,396219
2000,1983,6083,403273
2000,1493,5472,397354
2000,855,7900,403992
2000,127,2683,397520
2000,1312,2086,401802
2000,1845,9807,396009
2000,1167,4169,396110
2000,1244,9607,426382
2000,619,8304,396619
2000,1845,8680,402359
